"","x"
"1",-0.154862935686445
"2",-0.833252822769838
"3",-0.665510844135518
"4",-2.0276407880748
"5",-0.359336096005301
"6",0.0893197582136561
"7",1.88698718715611
"8",-0.247780897429442
"9",0.984296069188185
"10",0.233612544308118
"11",1.50475173089103
"12",-0.246525616042487
"13",-1.78096611597788
"14",-1.51509387057991
"15",0.0801399014678754
"16",-0.161193590245627
"17",-1.06653429300479
"18",-0.322678420681494
"19",-2.3056632603866
"20",-0.957009625032521
"21",-0.0563129213028048
"22",0.200558560866863
"23",1.00924602987233
"24",0.143706255223089
"25",0.386036342208111
"26",-1.05189814401026
"27",0.415543786717155
"28",0.555768013528577
"29",-0.816399315379605
"30",0.294539889822082
"31",1.04619338147081
"32",-0.202558748355236
"33",-0.335060310303686
"34",1.04323429455149
"35",-0.734632375192235
"36",-1.4415822964717
"37",-0.0366007887841181
"38",0.481544178662853
"39",0.491866044574713
"40",0.0762610736115123
"41",-0.0936168232014597
"42",1.44007554414269
"43",-1.73214289049014
"44",-1.33943819307533
"45",0.606580905096141
"46",0.159345230596095
"47",0.410029590445112
"48",0.990215889640071
"49",0.357436911077638
"50",-0.515691554577892
"51",0.716595073966592
"52",-0.737789957920579
"53",-0.940828590898942
"54",0.283508937707066
"55",0.236798267284895
"56",0.634503206764509
"57",-0.173316805210739
"58",-1.37041637244259
"59",0.837357832236695
"60",0.310226925113865
"61",0.442893241702623
"62",0.649361205512882
"63",-0.473398535642594
"64",-0.902051925751303
"65",0.312430606246867
"66",-0.271977141008369
