"","microbe","Comparison","ANCOM_BC_Coef","ANCOM_BC_W_stat","ANCOM_BC_padj"
"1","s__Methanobrevibacter_smithii","StatusTS",-0.224491402152895,-0.310462570298819,0.993862438365681
"2","s__Bifidobacterium_adolescentis","StatusTS",-0.775170364169027,-1.23589663285069,0.979859525535349
"3","s__Bifidobacterium_animalis","StatusTS",0.427579744737074,0.452543825262592,0.993862438365681
"4","s__Bifidobacterium_bifidum","StatusTS",-0.295388034604859,-0.233378373821391,0.993862438365681
"5","s__Bifidobacterium_catenulatum","StatusTS",-2.23842098253825,-2.28341416419338,0.623774145560159
"6","s__Bifidobacterium_longum","StatusTS",-0.0676942620129928,-0.128377548466119,0.993862438365681
"7","s__Bifidobacterium_pseudocatenulatum","StatusTS",0.852929259700451,0.73748981290986,0.979859525535349
"8","s__Collinsella_aerofaciens","StatusTS",0.299154210094543,0.3182952883072,0.993862438365681
"9","s__Collinsella_stercoris","StatusTS",0.593590693563658,0.766475527519392,0.979859525535349
"10","s__Adlercreutzia_equolifaciens","StatusTS",-0.45135779512966,-0.610864215122804,0.979859525535349
"11","s__Asaccharobacter_celatus","StatusTS",-0.664647464217299,-0.899586398934856,0.979859525535349
"12","s__Eggerthella_lenta","StatusTS",0.721407561599322,0.73787060803891,0.979859525535349
"13","s__Enterorhabdus_caecimuris","StatusTS",0.0229235805500846,0.045012746684823,0.993862438365681
"14","s__Gordonibacter_pamelaeae","StatusTS",0.481979368015458,0.663687243160017,0.979859525535349
"15","s__Bacteroides_caccae","StatusTS",0.931425460698889,0.771263573044351,0.979859525535349
"16","s__Bacteroides_cellulosilyticus","StatusTS",0.0129483141123301,0.0111458789438431,0.993862438365681
"17","s__Bacteroides_dorei","StatusTS",-0.0331419429109656,-0.0255597373836364,0.993862438365681
"18","s__Bacteroides_eggerthii","StatusTS",0.313790426705035,0.335879142672682,0.993862438365681
"19","s__Bacteroides_faecis","StatusTS",1.02534830366161,0.97029616729144,0.979859525535349
"20","s__Bacteroides_fragilis","StatusTS",-0.676028600957769,-0.582530398070778,0.979859525535349
"21","s__Bacteroides_intestinalis","StatusTS",0.592627143633794,0.669295833938538,0.979859525535349
"22","s__Bacteroides_massiliensis","StatusTS",0.00773844396319856,0.00989928281314512,0.993862438365681
"23","s__Bacteroides_ovatus","StatusTS",0.330984412021034,0.370475245856342,0.993862438365681
"24","s__Bacteroides_stercoris","StatusTS",0.0276895579131623,0.0234309965947136,0.993862438365681
"25","s__Bacteroides_thetaiotaomicron","StatusTS",-0.44174876025584,-0.362031003682248,0.993862438365681
"26","s__Bacteroides_uniformis","StatusTS",-0.21211401416949,-0.500495358317796,0.993862438365681
"27","s__Bacteroides_vulgatus","StatusTS",0.772277769256374,1.23057719887926,0.979859525535349
"28","s__Bacteroides_xylanisolvens","StatusTS",-0.425900590860515,-0.356164434438218,0.993862438365681
"29","s__Barnesiella_intestinihominis","StatusTS",0.738747231058803,0.56340054885441,0.979859525535349
"30","s__Coprobacter_sp","StatusTS",-0.0305396826255895,-0.0334269646416548,0.993862438365681
