"","x"
"1",-0.10252836868072
"2",-0.811986127628225
"3",-0.630197874078095
"4",-2.00319489761656
"5",-0.375376386307343
"6",0.0810553069497539
"7",2.00738342492326
"8",-0.250731230623992
"9",0.333433545845784
"10",1.61240678678268
"11",-0.162709219849842
"12",-1.8398751173086
"13",-1.47356308287184
"14",0.140307896378745
"15",-0.0745327931930862
"16",-0.273832287127738
"17",-2.32502203753755
"18",-0.97596075137673
"19",-0.000693353817624545
"20",0.299277762956486
"21",1.10038422906335
"22",0.240530380457921
"23",0.456400885143655
"24",-0.994927498749873
"25",0.450693532620886
"26",0.666327530706924
"27",-0.786115961030318
"28",0.284660579460158
"29",-0.16547533309243
"30",-0.288732322451868
"31",1.17004268776394
"32",-0.701623456170035
"33",-1.39760112296003
"34",-0.0446131291633227
"35",0.589629568012343
"36",0.565758244255811
"37",0.170837026125958
"38",-0.0720059327189373
"39",1.53629951757461
"40",-1.73238432197787
"41",-1.29205221611711
"42",0.638054632753826
"43",0.256690655010026
"44",0.331912143469681
"45",1.1152570026888
"46",0.380736560569437
"47",-0.492295573868944
"48",0.704435101930507
"49",-0.712796958130594
"50",-0.914692879066966
"51",0.300806315898569
"52",0.222308604082055
"53",0.716343896086608
"54",-0.150734930201377
"55",-1.36201197555995
"56",0.922766424839859
"57",0.412601739345055
"58",0.515153014621318
"59",0.736216530550138
"60",-0.43168182196874
"61",-0.840086406548952
"62",0.347576411044334
"63",-0.189009128981253
