"","x"
"1",-0.315059973932375
"2",-0.118323917560307
"3",-0.374409796601257
"4",-2.11610769128151
"5",-0.450712344268791
"6",-0.00092371002841091
"7",1.40968999499753
"8",0.794521908932081
"9",0.30245458969278
"10",1.24599466205649
"11",-0.214802908040166
"12",-1.38563249472888
"13",-1.28619483781734
"14",-0.0239672515996297
"15",-0.0987591255373956
"16",1.08476941562556
"17",-0.885967963235975
"18",0.551803369865345
"19",0.178163963215277
"20",0.241610779389788
"21",-0.0596832462218789
"22",-0.411477569562095
"23",0.206857496406481
"24",0.624261341970868
"25",0.0885633111284646
"26",0.236849080109308
"27",-0.563949940048003
"28",0.731127280737537
"29",0.423266078516411
"30",-0.678463149961873
"31",0.628301382173267
"32",-0.247541546721885
"33",-0.738581142425338
"34",-0.0118211505899843
"35",0.310856174661181
"36",0.0369720295158659
"37",0.113850161513476
"38",0.0251067205174852
"39",0.885886326606676
"40",-1.57605096069513
"41",-1.13153263135731
"42",0.453400780572917
"43",0.230400912113401
"44",-0.0483744444506614
"45",0.866810996586276
"46",0.343474853650056
"47",-0.151761695570119
"48",1.01082172016546
"49",-0.530045402105256
"50",0.249830527687483
"51",0.577423342854915
"52",-0.0143240140251023
"53",0.699071259038047
"54",-0.302463874470179
"55",-0.758193573566196
"56",0.652828190356521
"57",-0.158464326192011
"58",0.231636555606468
"59",0.284338686539849
"60",0.351256275127025
"61",-0.712943381367052
"62",0.453825070548112
"63",-0.0102698514014101
