"","microbe","Comparison","ANCOM_BC_Coef","ANCOM_BC_W_stat","ANCOM_BC_padj"
"1","1CMET2_PWY_N10_formyl_tetrahydrofolatebiosynthesis","StatusTS",0.0451740002894797,0.494745982126198,0.963150892584988
"2","7ALPHADEHYDROX_PWY_cholatedegradation_bacteria_anaerobic_","StatusTS",0.143887154642907,0.546415739184538,0.963150892584988
"3","ALLANTOINDEG_PWY_superpathwayofallantoindegradationinyeast","StatusTS",0.0787820762176403,0.260667143721927,0.969508334177327
"4","ANAEROFRUCAT_PWY_homolacticfermentation","StatusTS",-0.0843316798835993,-0.899314547229921,0.963150892584988
"5","ANAGLYCOLYSIS_PWY_glycolysisIII_fromglucose_","StatusTS",-0.047384698092632,-0.586683337556449,0.963150892584988
"6","ARG_POLYAMINE_SYN_superpathwayofarginineandpolyaminebiosynthesis","StatusTS",-0.336263316805969,-0.725429451398024,0.963150892584988
"7","ARGININE_SYN4_PWY_L_ornithinedenovobiosynthesis","StatusTS",-0.0739643266068904,-0.264882282119666,0.969508334177327
"8","ARGORNPROST_PWY_arginine_ornithineandprolineinterconversion","StatusTS",-0.224176894501691,-0.596947011846711,0.963150892584988
"9","ARGSYN_PWY_L_argininebiosynthesisI_viaL_ornithine_","StatusTS",0.0179801115846399,0.193210194653736,0.974679389568802
"10","ARGSYNBSUB_PWY_L_argininebiosynthesisII_acetylcycle_","StatusTS",0.0416182679209821,0.437927208137482,0.963150892584988
"11","ARO_PWY_chorismatebiosynthesisI","StatusTS",0.0368050989921062,0.441701574642071,0.963150892584988
"12","ASPASN_PWY_superpathwayofL_aspartateandL_asparaginebiosynthesis","StatusTS",0.0948127669708038,0.927042523608313,0.963150892584988
"13","AST_PWY_L_argininedegradationII_ASTpathway_","StatusTS",-0.190639973068151,-0.832542161506162,0.963150892584988
"14","BIOTIN_BIOSYNTHESIS_PWY_biotinbiosynthesisI","StatusTS",-0.127956998867577,-0.504223990215675,0.963150892584988
"15","BRANCHED_CHAIN_AA_SYN_PWY_superpathwayofbranchedaminoacidbiosynthesis","StatusTS",-0.0213190237045499,-0.240242197702391,0.973925824131883
"16","CALVIN_PWY_Calvin_Benson_Basshamcycle","StatusTS",0.0832896250672876,0.828233931966815,0.963150892584988
"17","CENTFERM_PWY_pyruvatefermentationtobutanoate","StatusTS",0.0774574770657733,0.343083672300236,0.963150892584988
